mock_slope	cov1_slope	cov2_slope	oddSample	Ratio	sig_mock	sig_cov1	sig_cov2
ENSG00000274211.5	-0.00422702317077136	-0.0056734411117938	-0.0356389683242844	cov2_slope	20.7071891845269	Not	Not	Significant
ENSG00000166128.13	0.0220892730414299	0.0193189883845675	0.0777872695512463	cov2_slope	20.0589883310465	Not	Not	Significant
ENSG00000083857.14	0.00859903525023635	0.0103837150339528	-0.0271829746165618	cov2_slope	20.0474831749312	Not	Not	Significant
ENSG00000184897.6	0.026367218583669	0.0301336463758827	0.105327318013698	cov2_slope	19.8797552042928	Not	Not	Significant
ENSG00000151414.15	-0.0113477145669968	-0.012347846222862	0.00839810043961082	cov2_slope	19.7453042163228	Not	Significant	Not
ENSG00000112851.14	0.017311205282203	0.0180982108701258	0.00190282660562373	cov2_slope	19.5824303808736	Significant	Significant	Not
ENSG00000175793.12	-0.0502181754706125	-0.0517460139814788	-0.0211298908221112	cov2_slope	19.0627394368205	Significant	Significant	Not
ENSG00000002587.10	-0.0260489389293628	-0.0249000424843048	-0.00319295215716062	cov2_slope	18.9016537863545	Significant	Not	Not
ENSG00000106392.10	0.0102185919748985	0.00938171029970927	0.0256631508398847	cov2_slope	18.4503580861117	Not	Not	Significant
ENSG00000189143.9	-0.0362278786832675	-0.0373451747251782	-0.0161261233996657	cov2_slope	18.0028395894963	Significant	Significant	Significant
ENSG00000184254.17	-0.0188113261737065	-0.0196405685567478	-0.0342167267157399	cov2_slope	17.5711275257793	Significant	Significant	Significant
ENSG00000166401.14	-0.0439087156790047	-0.0430333427576435	-0.0277342842785549	cov2_slope	17.4879832421135	Significant	Not	Not
ENSG00000141753.7	-0.078632390930846	-0.0752420526006803	-0.020991435407206	cov2_slope	16.0551964373566	Significant	Significant	Not
ENSG00000164951.16	-0.00585714254514125	-0.00729991826353871	0.0172047071100103	cov2_slope	15.9838338802317	Not	Not	Significant
ENSG00000196843.16	0.00128449182993454	-0.00135125281822967	0.0428346368339098	cov2_slope	15.7541819829915	Not	Not	Significant
ENSG00000189308.11	0.03020581704014	0.0287187173973884	0.0527441319667291	cov2_slope	15.1423619404033	Significant	Not	Significant
ENSG00000168528.12	-0.0586889641041515	-0.0596191227421273	-0.0448154796779987	cov2_slope	14.9271571000633	Significant	Significant	Not
ENSG00000115548.17	0.0303380389635867	0.0314962111552949	0.0132121238232962	cov2_slope	14.7937804820466	Significant	Not	Not
ENSG00000141027.21	0.0223024176837593	0.023258264475303	0.00841516687064471	cov2_slope	14.5326205939431	Significant	Not	Not
ENSG00000203797.10	0.074099250309842	0.0711464610735528	0.116863483747514	cov2_slope	14.4254190571592	Not	Not	Significant
ENSG00000135069.14	0.0054096446530212	0.00797479609816514	0.0442535954390506	cov2_slope	14.1324042527741	Not	Not	Significant
ENSG00000176105.14	0.0278858530913588	0.0266542002802666	0.00992537299358234	cov2_slope	13.5876618221328	Significant	Significant	Significant
ENSG00000011258.16	0.0246109821787158	0.0225495081802394	-0.00520712521521358	cov2_slope	13.4700736689193	Significant	Not	Not
ENSG00000204257.15	0.000808769667683925	0.00531897838479723	0.0649640404358127	cov2_slope	13.2044029109018	Not	Not	Significant
ENSG00000213553.4	-0.00745656985223465	-0.00890453814249201	-0.0279191363994747	cov2_slope	13.1279519930974	Not	Not	Significant
ENSG00000176476.9	-0.0492982043554234	-0.0459736873282373	-0.00393470365207394	cov2_slope	12.6640995080155	Significant	Not	Not
ENSG00000034510.6	-0.0241744105550623	-0.0266712945251407	0.00665265822005978	cov2_slope	12.35227608592	Significant	Significant	Not
ENSG00000135315.12	0.0389634586147015	0.0373713916582408	0.0181897757751484	cov2_slope	12.0561278579452	Significant	Significant	Significant
ENSG00000197153.4	0.0689832990487145	0.070623569650899	0.0901545355207882	cov2_slope	11.8879882076345	Significant	Significant	Significant
ENSG00000146247.14	0.0327731256706784	0.0354369441035049	0.00122224230468385	cov2_slope	11.8536086975951	Significant	Not	Significant
ENSG00000181649.7	-0.051437663977411	-0.0546072524363418	-0.0139925886084014	cov2_slope	11.8330421283133	Significant	Not	Not
ENSG00000081913.14	0.0429330897440145	0.0443371529884933	0.0263392072128215	cov2_slope	11.826518952099	Significant	Not	Not
ENSG00000175550.8	-0.0319507562953106	-0.0334201242202281	-0.0146942735313103	cov2_slope	11.7500202922868	Significant	Not	Not
ENSG00000186918.14	0.0320017060710144	0.029089623169069	-0.00507470826715041	cov2_slope	11.740043425256	Significant	Not	Not
ENSG00000152795.17	-0.0211553700492008	-0.0223140875386436	-0.00772774564711945	cov2_slope	11.5912346525624	Significant	Not	Not
ENSG00000159399.9	0.000118528920317326	0.00148574740569884	0.0172764532925404	cov2_slope	11.5482647486391	Not	Not	Significant
ENSG00000165650.12	-0.0131737754845751	-0.0157643177467599	-0.0450876723820896	cov2_slope	11.3104867178506	Not	Not	Significant
ENSG00000189266.13	0.0125283237852256	0.00986042338894965	0.0425385813535365	cov2_slope	11.2406962071092	Not	Not	Significant
ENSG00000197249.13	0.00224675997716819	-0.000290231962433403	-0.0287261773292008	cov2_slope	11.2054318127605	Not	Not	Significant
ENSG00000196754.10	-0.076832691556101	-0.078143080368721	-0.062222959871967	cov2_slope	11.161950173605	Significant	Not	Not
ENSG00000116001.16	0.0073644233652691	0.00825219348222283	0.0180667441549704	cov2_slope	11.0539557531028	Not	Not	Significant
ENSG00000139697.14	0.0194521689220153	0.0173633002800104	-0.00565844322314134	cov2_slope	11.0240283132241	Significant	Not	Not
ENSG00000108344.15	-0.00185095528518018	-0.000306142134231952	0.016679469103932	cov2_slope	10.9942667448784	Not	Not	Significant
ENSG00000101639.18	0.0349208035484636	0.0321436927088976	0.00174184321811288	cov2_slope	10.9556228031768	Significant	Not	Not
ENSG00000118960.13	-0.0181834177388769	-0.0211214939941737	-0.0532207974927584	cov2_slope	10.9134956796159	Not	Not	Significant
ENSG00000170006.12	-0.0365564973741454	-0.0387615590144624	-0.0126205893891055	cov2_slope	10.8632972615661	Significant	Not	Not
ENSG00000072501.17	0.0206261703437469	0.0172084248999104	-0.0190265471162829	cov2_slope	10.6046456134265	Significant	Not	Significant
ENSG00000231925.11	0.00177152901664975	0.00659562708675604	0.057207147885421	cov2_slope	10.4787079867924	Not	Not	Significant
ENSG00000019186.10	0.00368295236085184	-0.000751207015133765	-0.0472368359170431	cov2_slope	10.4756537841423	Not	Not	Significant
ENSG00000145741.15	-0.0072253405606109	-0.00647638456493739	-0.015009183082812	cov2_slope	10.392075139863	Not	Not	Significant
ENSG00000108298.11	-0.0184228294886741	-0.0192072415330051	-0.0102746990319484	cov2_slope	10.3890455693978	Not	Significant	Not
ENSG00000132780.17	0.0197432486672325	0.0184206123462758	0.0334418544186487	cov2_slope	10.3533361731431	Significant	Not	Significant
ENSG00000101846.6	-0.0080543076699162	-0.00651559896510657	0.00941454262852147	cov2_slope	10.3532395406006	Not	Not	Significant
ENSG00000182400.15	-0.00471953302367841	-0.00175620739284534	0.028907687968614	cov2_slope	10.3451975762873	Not	Not	Significant
ENSG00000108107.14	-0.0140648298914323	-0.0173550800454562	0.019805243240574	cov2_slope	10.29555328403	Not	Significant	Not
ENSG00000081760.17	-0.0251818341009213	-0.024109536654011	-0.0362200578827845	cov2_slope	10.290444605339	Significant	Not	Not
ENSG00000257923.11	-0.00053411624828695	0.00335582783734802	0.0433090060109867	cov2_slope	10.2639709832009	Not	Not	Significant
ENSG00000221829.9	0.0201945443604961	0.0209951936625237	0.0120445886829915	cov2_slope	10.1807992444609	Not	Significant	Significant
ENSG00000167772.12	-0.096443192093187	-0.106172208974214	0.00188448379092943	cov2_slope	10.1795658008916	Significant	Significant	Not
ENSG00000171714.11	0.0223568087880251	0.0203915853069457	0.0420795330874143	cov2_slope	10.0297218891416	Not	Not	Significant
ENSG00000126012.11	0.0127059494166034	0.0111721567321033	0.0279942567892018	cov2_slope	9.96475148199903	Not	Not	Significant
ENSG00000170445.14	-0.0106635908087692	-0.00701660170551948	0.0291614231810986	cov2_slope	9.91845969075341	Not	Not	Significant
ENSG00000106070.19	-0.0124635937358605	-0.00537768675079515	0.064504560370322	cov2_slope	9.85036914398919	Not	Not	Significant
ENSG00000106052.13	0.0070454260990522	0.00616550887882415	0.0154693334515794	cov2_slope	9.57267117391856	Not	Not	Significant
ENSG00000197442.10	0.0292297440359552	0.0268951807304811	0.00461965716190678	cov2_slope	9.54637697225807	Significant	Not	Not
ENSG00000196233.13	0.0323366450946449	0.0317913968223931	0.0375017799009441	cov2_slope	9.47116599256845	Significant	Not	Not
ENSG00000172137.19	-0.0406882780821452	-0.0380984988533272	-0.0136196531912939	cov2_slope	9.45997393600965	Significant	Not	Not
ENSG00000017260.19	0.011702455397131	0.013623896834698	-0.00617868518488703	cov2_slope	9.30728368442226	Not	Significant	Not
ENSG00000124177.15	0.0245518081359523	0.025331990701515	0.0323907139044564	cov2_slope	9.04558418890325	Significant	Significant	Significant
ENSG00000182704.8	-0.0034715259340095	-0.00613433697403625	0.0205948702509127	cov2_slope	9.03708155521939	Not	Not	Significant
ENSG00000137135.18	0.049357346696566	0.0477957157093697	0.0337403397526534	cov2_slope	9.00656985851042	Significant	Not	Not
ENSG00000138835.22	0.0343362270083224	0.0329517785220508	0.0205545631739589	cov2_slope	8.9582350189508	Significant	Significant	Significant
ENSG00000196730.13	0.0328516306600548	0.0348069070627821	0.0153834353671082	cov2_slope	8.93867610736537	Significant	Significant	Significant
ENSG00000021355.13	-0.039679150210308	-0.0443232138829889	0.00155140273155903	cov2_slope	8.8893094077854	Significant	Not	Not
ENSG00000104375.17	0.0219762736908742	0.0252466121937239	0.0543391790280341	cov2_slope	8.88616215086834	Not	Not	Significant
ENSG00000215788.10	-0.0164518878959823	-0.00635256271809157	0.0830221016336274	cov2_slope	8.83197312297056	Not	Not	Significant
ENSG00000065183.16	-0.0065340882868042	-0.00370513304458714	-0.0313688529131726	cov2_slope	8.77540990913064	Not	Not	Significant
ENSG00000056736.10	-0.0124169752207323	-0.0150679086852471	-0.0382797951391267	cov2_slope	8.75115865447666	Not	Significant	Significant
ENSG00000115738.10	0.00939111762412865	0.0128885061533061	0.0433508232847683	cov2_slope	8.70355486391599	Not	Not	Significant
ENSG00000168772.11	0.0630243279934755	0.0826751572607395	0.257055960074472	cov2_slope	8.65224397932354	Not	Not	Significant
ENSG00000109332.20	-0.00380687802409693	-0.00212583013864683	0.0123949393850466	cov2_slope	8.6376259282531	Not	Not	Significant
ENSG00000134531.10	-0.0387752588821562	-0.0366826299646519	-0.0568630108962248	cov2_slope	8.63588076461006	Significant	Significant	Significant
ENSG00000161692.18	0.0611248701353675	0.0638326173222255	0.0871477152504479	cov2_slope	8.59477209843885	Significant	Significant	Significant
ENSG00000152818.18	0.0332927391926114	0.0318642772638734	0.0196331309669211	cov2_slope	8.56576244612637	Significant	Significant	Significant
ENSG00000137876.10	-0.00334722061783623	-0.00446661391203313	0.00615999066130189	cov2_slope	8.49323202527381	Not	Not	Significant
ENSG00000083845.9	-0.0174107324535315	-0.0184707851458784	-0.00850307215995935	cov2_slope	8.40427441826728	Not	Significant	Not
ENSG00000106479.11	-0.00276504223794706	-0.0102872849344788	-0.0734010522248056	cov2_slope	8.37326251162549	Not	Not	Significant
ENSG00000151726.14	-0.0380430442906209	-0.0394719604123586	-0.0513660670820765	cov2_slope	8.31911264189331	Significant	Not	Not
ENSG00000159259.8	0.0073011498050322	0.00856660542688098	-0.00318564973481371	cov2_slope	8.2873870483102	Not	Not	Significant
ENSG00000113763.12	-0.0374754559971505	-0.0351223177804631	-0.0569353236616381	cov2_slope	8.26198234858996	Significant	Not	Not
ENSG00000143924.19	0.0230414352372493	0.0199599973938323	-0.00548915398009675	cov2_slope	8.26180211151618	Significant	Not	Not
ENSG00000170927.14	0.0430837723789721	0.0451112412457771	0.0263728996902896	cov2_slope	8.24812577222282	Significant	Significant	Significant
ENSG00000240207.6	0.038858228740917	0.040619923497831	0.0243627351228435	cov2_slope	8.23277879292495	Significant	Not	Not
ENSG00000168014.16	0.0267611842526548	0.0254182144395763	0.0145356030644539	cov2_slope	8.10559474554674	Significant	Not	Not
ENSG00000007376.8	-0.0302638530232469	-0.0325360205683815	-0.0126728132934729	cov2_slope	7.74583138601885	Significant	Not	Not
ENSG00000124610.4	0.068330274727351	0.0690129825106406	0.0630658895610475	cov2_slope	7.71408787488611	Significant	Significant	Significant
ENSG00000147041.12	-0.00323894494966175	0.00836340108695817	0.0980105651441416	cov2_slope	7.69990066836167	Not	Not	Significant
ENSG00000126778.10	0.00911011029014495	0.0191042929599109	0.0962013863898042	cov2_slope	7.68649210466309	Not	Not	Significant
ENSG00000196502.11	-0.051404751130535	-0.0510352430432221	-0.0482318388020747	cov2_slope	7.58806098360439	Significant	Not	Not
ENSG00000130827.6	-0.0427101399924417	-0.04519314382478	-0.0239878448625761	cov2_slope	7.54613736024276	Significant	Not	Not
ENSG00000215182.8	-0.0130461137890707	-0.0194410727365723	0.0348591779251397	cov2_slope	7.49078166067253	Not	Not	Significant
ENSG00000090857.13	-0.0178389624947006	-0.0156268952340322	-0.0344001740979433	cov2_slope	7.48358086303038	Not	Not	Significant
ENSG00000196188.11	0.00550768580855745	0.0110620414898438	0.052119878190528	cov2_slope	7.38413114836328	Not	Not	Significant
ENSG00000100280.16	0.0146915192590985	0.015421004295221	0.0207629381065993	cov2_slope	7.32212962292846	Not	Not	Significant
ENSG00000106078.19	-0.0157770001702538	-0.0189553913133951	-0.0421655910252013	cov2_slope	7.2975660668231	Not	Not	Significant
ENSG00000185090.14	-0.0294251217808636	-0.0323968496379551	-0.054068650066308	cov2_slope	7.28573268459061	Significant	Not	Significant
ENSG00000186871.7	0.0459697858158528	0.0418954964598525	0.0125992172353196	cov2_slope	7.19855543263014	Significant	Not	Significant
ENSG00000104368.17	-0.0186106431441798	-0.00882894981734695	0.0614705153341783	cov2_slope	7.1803277184208	Not	Not	Significant
ENSG00000125901.6	-0.0313486709441392	-0.0359046994641396	0.00117814199259149	cov2_slope	7.1451206505478	Significant	Not	Not
ENSG00000281100.1	0.151740925671748	0.157464709365927	0.198235053644386	cov2_slope	7.06879288893715	Not	Not	Significant
ENSG00000223784.2	-0.0432908922951827	-0.0407427140857101	-0.0612841999865968	cov2_slope	7.05423919442199	Significant	Significant	Significant
ENSG00000155561.15	0.0238592193070047	0.0220007990179431	0.00890578513443995	cov2_slope	7.04823763069199	Significant	Not	Significant
ENSG00000174371.17	0.0065471350533837	0.00774726003070846	-0.00191120169635227	cov2_slope	7.04816091646277	Not	Significant	Not
ENSG00000196159.11	0.0150404704936868	0.0105063858281796	-0.0212539300153818	cov2_slope	7.00515494724533	Not	Not	Significant
ENSG00000213793.5	0.040726023561291	0.0363482301525838	0.00579559441921593	cov2_slope	6.98573496046042	Significant	Not	Not
ENSG00000128944.13	0.0442505521870823	0.0489681520635123	0.0114417387949457	cov2_slope	6.96365492550447	Significant	Not	Not
ENSG00000237523.1	0.0469837314505128	0.048703241762893	0.0603617896276252	cov2_slope	6.7754526116917	Significant	Not	Not
ENSG00000165376.10	0.00111381997644904	0.00574478171879881	0.0362773385847715	cov2_slope	6.58980434792928	Not	Not	Significant
ENSG00000130706.13	-0.00206235719501156	-0.0054127143176701	0.0199595705665123	cov2_slope	6.5723152261533	Not	Not	Significant
ENSG00000118412.12	0.00413478495347807	0.00548723774206576	-0.00472050555613879	cov2_slope	6.54768748337054	Not	Not	Significant
ENSG00000126107.15	-0.00852040901415435	-0.0144099955021652	-0.0529089528346426	cov2_slope	6.52946222155142	Not	Not	Significant
ENSG00000112414.14	0.028996960463202	0.0261247159301465	0.0074209241330379	cov2_slope	6.51483627410363	Significant	Not	Not
ENSG00000152518.8	0.0176872099893421	0.0100453250754049	0.0674391772813311	cov2_slope	6.49861119659796	Not	Not	Significant
ENSG00000166794.4	-0.00526088653626765	-0.00805812242891312	0.0125158234062718	cov2_slope	6.35513362891249	Not	Not	Significant
ENSG00000171552.13	-0.0260170985890229	-0.0280249864935288	-0.0132754761268822	cov2_slope	6.34788329652407	Significant	Significant	Significant
ENSG00000278705.1	0.0641533847972815	0.0655350454649845	0.0553992348623832	cov2_slope	6.33991086659764	Significant	Significant	Significant
ENSG00000058063.16	0.0224418554621726	0.0178296460351663	-0.0111254141556904	cov2_slope	6.27996251602512	Significant	Not	Not
ENSG00000080345.17	0.0138018009357323	0.0117643667640807	-0.000891260534373598	cov2_slope	6.21230214949478	Not	Not	Significant
ENSG00000109911.19	0.007893936668715	0.0115810774329948	0.0343200096644509	cov2_slope	6.16417076266555	Not	Not	Significant
ENSG00000103415.12	-0.0225105059101234	-0.0203875170190872	-0.00732203953941517	cov2_slope	6.15584893166205	Significant	Not	Not
ENSG00000108852.14	0.043792867817045	0.0500778872669505	0.00543230975008133	cov2_slope	6.11250571863681	Not	Significant	Not
ENSG00000149260.17	0.070525858929885	0.0616110178988687	0.00761338467763025	cov2_slope	6.07478183781512	Significant	Not	Not
ENSG00000134324.11	0.0284173810886747	0.0252721145450106	0.00618757148790846	cov2_slope	6.07039451604609	Significant	Not	Not
ENSG00000124766.6	0.0294386578705589	0.0329547945667746	0.0543058008490877	cov2_slope	6.06643053332911	Significant	Not	Significant
ENSG00000137492.8	-0.015066786380363	-0.0119676117055311	-0.0338180944096257	cov2_slope	6.04774031218081	Not	Not	Significant
ENSG00000163961.4	0.0219744673022466	0.0200550518698879	0.00853327613518978	cov2_slope	6.00411210443062	Significant	Not	Not
ENSG00000166411.14	-0.0239462312340819	-0.0218549231077654	-0.00946285322633313	cov2_slope	5.92709188275564	Significant	Not	Significant
ENSG00000136436.14	0.0259216665417932	0.0231475944021758	0.0423612493786603	cov2_slope	5.92269003353419	Not	Not	Significant
ENSG00000153094.23	0.0079987433962558	0.0144395315614245	0.0524667286822184	cov2_slope	5.89757774247318	Not	Not	Significant
ENSG00000186834.3	-0.0064559901118699	-0.0128963435722466	0.0314685615171256	cov2_slope	5.88752802222238	Not	Not	Significant
ENSG00000285417.1	0.0297419310411553	0.0304257506793824	0.0257218771240635	cov2_slope	5.87961309847634	Significant	Not	Significant
ENSG00000175130.7	0.00695981436881595	-0.00147508191964365	0.0566131263459155	cov2_slope	5.87958916516801	Not	Not	Significant
ENSG00000138119.17	-0.016992925735419	-0.0149567447647136	-0.0289237492839109	cov2_slope	5.85775260857248	Significant	Not	Significant
ENSG00000135917.15	0.020260968371529	0.0177841847617627	0.0347704496914434	cov2_slope	5.8557818959034	Not	Not	Significant
ENSG00000108679.13	-0.00300960561063457	0.0072186191031228	0.0667131329336343	cov2_slope	5.80713790529608	Not	Not	Significant
ENSG00000196914.9	0.0299300300753116	0.0366190676766416	-0.00867019007935746	cov2_slope	5.77571004361576	Significant	Not	Not
ENSG00000241635.7	0.0270161406920964	0.0302535001949823	0.0488963506340867	cov2_slope	5.7542084433085	Significant	Not	Not
ENSG00000178718.6	-0.0387572159541269	-0.0309934118949429	0.0132778041756692	cov2_slope	5.70784270081904	Significant	Not	Not
ENSG00000158467.16	0.00497231722026101	0.0145872060919156	0.0695106030853631	cov2_slope	5.70141457432878	Not	Not	Significant
ENSG00000175105.7	0.0328262507135416	0.0359536010242879	0.0536722577290315	cov2_slope	5.66089908869547	Significant	Not	Significant
ENSG00000141698.16	-0.0239157685277569	-0.0251344081955675	-0.0319279528109473	cov2_slope	5.57349053596707	Significant	Not	Not
ENSG00000101076.16	0.0249074824805983	0.0187838603919141	0.0589307051022006	cov2_slope	5.54844941490774	Not	Not	Significant
ENSG00000198502.6	-0.0182519595049161	-0.0431993583582977	0.120073763394497	cov2_slope	5.5271789797448	Not	Not	Significant
ENSG00000240498.8	0.0347753434987822	0.0338291805675615	0.0399572305366725	cov2_slope	5.47552584579436	Significant	Not	Not
ENSG00000142534.7	-0.0210232053799507	-0.0192211536581078	-0.00935602951000121	cov2_slope	5.47544038661935	Significant	Significant	Not
ENSG00000261582.1	-0.0390017734601748	-0.0421651906549195	-0.0217763600695178	cov2_slope	5.4489982943069	Significant	Not	Not
ENSG00000171467.16	-1.68491120627241e-05	-0.00835300565656161	-0.0537573967634041	cov2_slope	5.44063057102041	Not	Not	Significant
ENSG00000151715.7	-0.0070257933359987	-0.0050054743301786	-0.0178084606441774	cov2_slope	5.33643174100181	Not	Not	Significant
ENSG00000006831.10	0.0154918996048403	0.0174715667437121	0.00498456522429864	cov2_slope	5.30846508532638	Not	Significant	Not
ENSG00000133874.2	0.0156211464692498	0.0225032962723577	0.0585254519834323	cov2_slope	5.22692447682633	Not	Not	Significant
ENSG00000105948.13	0.0108630279633926	-0.00467212568488171	0.0915757339603819	cov2_slope	5.17927381122006	Not	Not	Significant
ENSG00000026751.17	-0.109992446255437	-0.116083505952837	-0.078671081369321	cov2_slope	5.16156911806481	Significant	Not	Significant
ENSG00000133858.15	0.00430337801888039	-0.0013399510827624	0.0333578380933426	cov2_slope	5.14629968937545	Not	Not	Significant
ENSG00000177485.7	0.00606428915404805	0.00874969372819063	0.0225574644315374	cov2_slope	5.14072809584674	Not	Not	Significant
ENSG00000011295.16	-0.0333923016747892	-0.0371819921659	-0.0566441321403089	cov2_slope	5.13049758945453	Significant	Significant	Significant
ENSG00000114738.11	-0.0225634139223592	-0.0196393388175312	-0.0375175837164904	cov2_slope	5.11172670317904	Significant	Not	Not
ENSG00000169136.11	-0.0371932908688477	-0.0398920001489895	-0.0234588417653784	cov2_slope	5.09206647970487	Significant	Not	Not
ENSG00000005059.16	0.0322906625335121	0.0362749685910818	0.0565186404844683	cov2_slope	5.07573271017045	Not	Not	Significant
ENSG00000186638.16	0.0549750663707795	0.0599389567620499	0.0298788697011697	cov2_slope	5.06307482461032	Significant	Significant	Significant
